model,dataset,seed,kmeans_seed,kmeans_n_init,selected_views,max_samples,sample_strategy,data_size,view,seq_len,feature_dim,high_feature_dim,local_loss_weight,local_chunk_size,pre_epochs,con_epochs,trainable_parameters,total_parameters,best_epoch,acc,nmi,ari,pur
base_scmvc_mlp,har,0,0,2,all,300,stratified,300,3,128,32,16,0.0,,1,1,9084720,9084720,1,0.640000,0.619225,0.497689,0.640000
tcn,har,0,0,2,all,300,stratified,300,3,128,32,16,0.0,,1,1,4383712,4383712,1,0.666667,0.609658,0.509351,0.666667
lstm,har,0,0,2,all,300,stratified,300,3,128,32,16,0.0,,1,1,1293856,1293856,1,0.443333,0.383970,0.257110,0.483333
